host_since,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,is_location_exact,property_type,accommodates,bathrooms,bedrooms,beds,square_feet,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month
2012-10-30,100%,100%,t,5.0,t,t,47.64152492560981,-122.3761503724508,t,Camper/RV,2,1.0,1.0,2.0,,$60.00,$150.00,$25.00,2,$0.00,2,7,t,19,44,44,102,191,2012-11-05,2016-01-01,97.0,10.0,10.0,10.0,10.0,9.0,10.0,f,f,strict,t,t,5,4.96
2015-10-19,67%,100%,f,1.0,t,f,47.635310702971786,-122.36350557505072,t,House,4,1.0,2.0,2.0,,$175.00,$250.00,$78.00,4,$50.00,1,15,t,30,48,48,48,0,,,,,,,,,,f,f,moderate,f,f,1,
2012-07-05,100%,100%,f,1.0,t,t,47.66932717471968,-122.39259356469373,f,House,6,2.5,3.0,4.0,,$170.00,$250.00,$100.00,6,$100.00,4,1125,t,23,25,25,27,9,2015-08-10,2015-11-29,91.0,9.0,9.0,10.0,10.0,10.0,9.0,f,f,strict,f,f,1,1.82
2014-07-17,100%,100%,f,1.0,t,t,47.67407415557543,-122.3938640503292,t,Apartment,2,1.0,1.0,1.0,,$85.00,,$50.00,2,$20.00,3,1125,t,20,45,75,347,65,2014-08-28,2015-12-14,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,t,moderate,f,f,1,3.94
2015-03-04,100%,100%,t,4.0,t,t,47.67362807262794,-122.38930195133072,t,House,12,3.5,5.0,7.0,,$465.00,"$1,000.00",$250.00,1,$0.00,3,1125,t,3,26,46,175,5,2015-09-18,2015-12-16,96.0,10.0,10.0,10.0,10.0,10.0,9.0,f,f,strict,f,f,1,1.38
2013-03-04,100%,100%,f,1.0,t,t,47.6684599605579,-122.37951599522182,t,Apartment,2,1.0,1.0,1.0,,$175.00,$250.00,$50.00,1,$0.00,1,1125,t,0,0,0,94,5,2015-08-10,2015-12-01,96.0,10.0,10.0,10.0,10.0,10.0,9.0,f,f,flexible,f,f,1,1.01
2015-04-25,100%,,f,1.0,t,f,47.670662322939705,-122.37866592236747,f,Condominium,2,1.0,1.0,1.0,,$50.00,,,0,$0.00,1,1125,t,20,50,80,355,0,,,,,,,,,,f,f,flexible,f,f,1,
2015-06-26,,,f,1.0,t,f,47.67264618041156,-122.3893330272264,t,Apartment,2,1.0,1.0,1.0,,$60.00,,,1,$0.00,1,1125,t,0,0,0,166,0,,,,,,,,,,f,f,flexible,f,f,1,
2012-01-16,100%,100%,f,1.0,t,t,47.67317538409765,-122.38225959936204,t,House,2,1.0,1.0,1.0,,$59.00,,$12.00,1,$0.00,1,1125,t,25,55,85,360,16,2015-08-12,2015-12-20,93.0,9.0,10.0,10.0,10.0,10.0,10.0,f,f,flexible,f,f,1,3.29
2011-07-19,90%,100%,f,1.0,t,t,47.66793300136605,-122.3786524676208,t,Apartment,4,1.0,1.0,4.0,,$47.00,$200.00,$15.00,2,$10.00,1,1125,t,30,60,89,89,23,2015-05-25,2015-10-08,77.0,8.0,8.0,9.0,9.0,9.0,8.0,f,f,strict,f,t,1,3.07
2013-05-08,100%,100%,f,1.0,t,t,47.67296864487422,-122.39733818247204,t,House,4,1.0,2.0,2.0,,$145.00,$100.00,$45.00,4,$30.00,2,14,t,29,59,88,88,45,2013-06-13,2015-09-21,97.0,9.0,9.0,10.0,10.0,10.0,9.0,f,f,moderate,t,t,1,1.44
2011-10-27,100%,100%,f,1.0,t,t,47.66862741947888,-122.3894959253679,t,House,2,1.0,1.0,1.0,,$70.00,,,1,$0.00,1,1125,t,10,38,68,343,75,2014-03-26,2015-12-20,94.0,10.0,9.0,10.0,10.0,10.0,10.0,f,f,flexible,f,f,1,3.46
2014-05-13,100%,100%,f,1.0,t,t,47.67011138347177,-122.39386928567664,t,House,2,1.0,1.0,1.0,,$55.00,$100.00,$25.00,1,$10.00,2,1125,t,15,43,73,348,86,2014-06-02,2016-01-01,94.0,9.0,10.0,10.0,10.0,10.0,10.0,f,f,moderate,f,f,1,4.43
2012-09-16,100%,100%,t,1.0,t,t,47.671690500882136,-122.38523906517403,t,House,4,1.0,1.0,2.0,,$95.00,,$30.00,2,$35.00,2,90,t,7,22,52,327,151,2012-10-15,2015-12-18,97.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,moderate,f,f,1,3.85
2014-09-08,100%,100%,f,1.0,t,t,47.67083617832085,-122.39253711071063,t,House,2,1.0,1.0,1.0,,$125.00,,,1,$0.00,1,1125,t,26,49,79,345,6,2014-09-21,2015-05-29,92.0,10.0,10.0,10.0,10.0,10.0,8.0,f,t,flexible,f,f,1,0.38
